raterParticipantId,coreRaterIntercept,numRatings,agreementRate
00007B885907790E492F8C9A31F1AFC20831279328C26321F437F930040B6ECE,0.0,1,0.0
0000D7141B6CB1469838C4CCED5CC13DC0A524E203B7C964ACDFDA1245EC5B7E,0.0,1,0.0
0002DF4EC6D6BD71CB266B641684F34AB9133091E7C54A672D7578E3D73BC7FE,0.0,1,0.0
00037E5A04D7781E19E5AAF559E14512FF17E7F76C30AF0BC5D90CFF3E0836D4,0.0,1,0.0
000780112CAEE3070B6E6958307E1080102F360E2DC34842B120BFA438C9887D,0.0,1,0.0
0007890A6DFCAAF17F32F20EABEFCB82CA9F0B25E03D9C6BF070CF2ED7CBB125,0.0,1,0.0
0007FA945EF35219D0388D94715189F6231A77263D83B1D85E912A23A5649C9B,0.0,1,0.0
0008AA2B592A961E760CED75ED025B716C4F51956DDFD9071BD0279729899BB6,0.0,1,0.0
000C54FC42D1309AB9587ADAA7D0DCA02346096058CBA7977D49E6373CC77E54,0.0,1,0.0
000F01E2050C003C6AB0F3B9EA1DE48384F52E025968244CCA0B38328A3463BC,0.0,1,0.0
00108E4CC8AF3573F479BD3EC1ED4DE673BB74F78BA96F0F941ECB45721F5CA6,0.0,1,0.0
0012163D259A0C6B39EAD3F0D643A017E24A542F1BE93B69D412F6D29B2A8075,0.0,1,0.0
00152ED2B025AC5EF49CB1432F4AAD1CF0E5C089293A9BAC97487EB3634ADE9B,0.0,1,0.0
001566772335790F792D3119D2ACF9985597E14482728ED585D8F1D05C80C9A5,0.0,1,0.0
001595357CB4D52B623102E9AA72E1EB7F6A636FA3B7C40A0F24D519123629EB,0.0,5,0.0
0015DA13B2D9DA57758F62093CB4D49111B33BBA90AC9BB2C702EF125D992C1C,0.0,3,0.0
001670E335A2559879EA4C5497E9469BD163D949F32CFB60A9A7AAE8AABE6DEF,0.0,1,0.0
00213D23C78952BCA18B8FFB9FDF1F1DC9B76F7EB3C6FDA0B206C93186783782,0.0,1,0.0
0023CC3565BA39377A68185C81DED4A4668237B91AF854661A1E73A73A634019,0.0,1,0.0
00268A978C1F83306BD6D261D1B85F266484A0F9D564F3C3A5ED98C12E204AE7,0.0,1,0.0
0028C6F57C76A8A69C872634A5FD07E4A9D842384D514E41015C6002DE1EFA83,0.0,1,0.0
