noteId,coreNoteIntercept,currentStatus,numRatings,helpfulRatio
1360728759100469253,0.1,CURRENTLY_RATED_NOT_HELPFUL,4,0.25
1370524030915198979,0.0,CURRENTLY_RATED_NOT_HELPFUL,3,0.0
1384533125146025987,0.2,NEEDS_MORE_RATINGS,2,1.0
1465395305029931008,0.0,NEEDS_MORE_RATINGS,1,0.0
1513920997807861761,0.0,CURRENTLY_RATED_NOT_HELPFUL,18,0.0
1535829180516118529,0.0,CURRENTLY_RATED_NOT_HELPFUL,5,0.0
1597320286441017346,0.0,CURRENTLY_RATED_NOT_HELPFUL,13,0.0
1610153625740877825,0.0,CURRENTLY_RATED_NOT_HELPFUL,12,0.0
1617419787642245120,0.0,CURRENTLY_RATED_NOT_HELPFUL,24,0.0
1617583254906994691,0.0,CURRENTLY_RATED_NOT_HELPFUL,40,0.0
1618648341218213896,0.0,CURRENTLY_RATED_NOT_HELPFUL,5,0.0
1624174227057217536,0.0,CURRENTLY_RATED_NOT_HELPFUL,8,0.0
1624861223522033666,0.0,CURRENTLY_RATED_NOT_HELPFUL,34,0.0
1630933111604142081,0.0,CURRENTLY_RATED_NOT_HELPFUL,93,0.0
1632854312694190080,0.0,CURRENTLY_RATED_NOT_HELPFUL,34,0.0
1635129010358218752,0.0,CURRENTLY_RATED_NOT_HELPFUL,5,0.0
1636134141602459649,0.0,CURRENTLY_RATED_NOT_HELPFUL,68,0.0
1637720607243763717,0.0,CURRENTLY_RATED_NOT_HELPFUL,5,0.0
1640458524118462465,0.0,CURRENTLY_RATED_NOT_HELPFUL,65,0.0
1644278151894429699,0.0,CURRENTLY_RATED_NOT_HELPFUL,14,0.0
1644826701086457856,0.0,CURRENTLY_RATED_NOT_HELPFUL,3,0.0
1649451419999633430,0.0,CURRENTLY_RATED_NOT_HELPFUL,311,0.0
1649466060007940098,0.0,CURRENTLY_RATED_NOT_HELPFUL,25,0.0
1652228339434921990,0.0,NEEDS_MORE_RATINGS,2,0.0
1652703365422260225,0.0,CURRENTLY_RATED_NOT_HELPFUL,22,0.0
1655673650459328512,0.0,CURRENTLY_RATED_NOT_HELPFUL,69,0.0
1656321000144003073,0.0,CURRENTLY_RATED_NOT_HELPFUL,4,0.0
1656759871562448896,0.0,CURRENTLY_RATED_NOT_HELPFUL,30,0.0
1657501174256287749,0.0,CURRENTLY_RATED_NOT_HELPFUL,12,0.0
1659523002101383170,0.0,NEEDS_MORE_RATINGS,1,0.0
1659541978105761798,0.0,CURRENTLY_RATED_NOT_HELPFUL,23,0.0
1661418047414861847,0.0,CURRENTLY_RATED_NOT_HELPFUL,35,0.0
1661533361960017922,0.0,CURRENTLY_RATED_NOT_HELPFUL,4,0.0
1662180604384018432,0.0,NEEDS_MORE_RATINGS,2,0.0
1662988393675132929,0.0,NEEDS_MORE_RATINGS,2,0.0
1663161466697003008,0.0,CURRENTLY_RATED_NOT_HELPFUL,10,0.0
1664436033470201858,0.0,CURRENTLY_RATED_NOT_HELPFUL,3,0.0
1664818862007676934,0.0,CURRENTLY_RATED_NOT_HELPFUL,3,0.0
1666960977047310336,0.0,NEEDS_MORE_RATINGS,1,0.0
1668739705905586177,0.0,CURRENTLY_RATED_NOT_HELPFUL,86,0.0
1668852837105942531,0.0,CURRENTLY_RATED_NOT_HELPFUL,18,0.0
1671021311471271936,0.0,CURRENTLY_RATED_NOT_HELPFUL,11,0.0
1674521239023505408,0.0,CURRENTLY_RATED_NOT_HELPFUL,9,0.0
1674754511812927488,0.0,CURRENTLY_RATED_NOT_HELPFUL,5,0.0
1675814152806211587,0.0,CURRENTLY_RATED_NOT_HELPFUL,4,0.0
1676525611030913025,0.0,CURRENTLY_RATED_NOT_HELPFUL,85,0.0
1681869199084331009,0.0,CURRENTLY_RATED_NOT_HELPFUL,12,0.0
1683081976599703552,0.0,CURRENTLY_RATED_NOT_HELPFUL,33,0.0
1683541368424022024,0.0,CURRENTLY_RATED_NOT_HELPFUL,29,0.0
1684639392076361728,0.0,CURRENTLY_RATED_NOT_HELPFUL,9,0.0
1684704269159579648,0.0,CURRENTLY_RATED_NOT_HELPFUL,8,0.0
1685268528356872192,0.0,CURRENTLY_RATED_NOT_HELPFUL,97,0.0
1686814440983773192,0.0,CURRENTLY_RATED_NOT_HELPFUL,59,0.0
